# Lon        | Lat          | Moho Depth   | X   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.583014e+02  +6.271610e+01  +3.545802e+01  0045     TA-K17K-  +2.853799e-03  -4.059862e-01  +3.204873e+00  +2.100000e+00
-1.582972e+02  +6.213440e+01  +3.576336e+01  0048     TA-L17K-  +5.111603e-03  -7.598479e-01  +3.196646e+00  +2.100000e+00
-1.581151e+02  +6.849460e+01  +4.522901e+01  0024     TA-D19K-  +1.448665e-02  -1.799287e+00  +4.489350e+00  +1.100000e+00
-1.580932e+02  +5.959380e+01  +3.698473e+01  0048     TA-O16K-  +9.227755e-03  -8.740114e-01  +3.301584e+00  +2.100000e+00
-1.579906e+02  +5.903140e+01  +2.596379e+01  0012     TA-P16K-  +8.275449e+00  +1.148982e+01  +3.530845e+00  +1.000000e-01
-1.577728e+02  +6.683320e+01  +3.545802e+01  0042     TA-F19K-  +1.974845e-02  +1.121094e+00  +3.573898e+00  +2.100000e+00
-1.574375e+02  +6.140090e+01  +3.133588e+01  0048     TA-M17K-  +9.120621e-01  +3.632908e+00  +3.445689e+00  +2.100000e+00
-1.572316e+02  +6.745720e+01  +3.652672e+01  0044     TA-E19K-  +1.038370e-02  +1.806623e+00  +3.833710e+00  +2.100000e+00
-1.571867e+02  +6.052690e+01  +3.332061e+01  0051     TA-N17K-  +4.968339e-01  +2.568557e+00  +3.216036e+00  +2.100000e+00
-1.571599e+02  +7.000790e+01  +3.255725e+01  0002     TA-B20K-  +8.297515e-02  +8.768650e+00  +4.423740e+00  +1.100000e+00
-1.570946e+02  +5.977330e+01  +3.729008e+01  0051     TA-O17K-  +9.064249e-03  -7.976703e-01  +3.631008e+00  +2.100000e+00
-1.570870e+02  +6.614340e+01  +3.774809e+01  0050     TA-G19K-  +1.057513e-02  -1.696033e+00  +3.417112e+00  +2.100000e+00
-1.568792e+02  +6.474610e+01  +3.928154e+01  0028     AK-GCSA-  +2.424833e-01  -2.699494e+00  +3.469976e+00  +2.100000e+00
-1.567154e+02  +6.346500e+01  +3.515267e+01  0052     TA-J18K-  +2.011615e-02  +4.587022e-01  +3.243760e+00  +2.100000e+00
-1.566886e+02  +6.221950e+01  +3.225191e+01  0040     TA-L18K-  +2.278970e-01  +2.391190e+00  +3.491325e+00  +2.100000e+00
-1.566556e+02  +5.867740e+01  +4.232824e+01  0020     TA-Q16K-  +5.476952e+00  -9.534454e+00  +4.263767e+00  +1.000000e-01
-1.566175e+02  +7.132210e+01  +3.316794e+01  0011     TA-A21K-  +1.014996e-01  +2.298035e+00  +8.535664e+00  +1.100000e+00
-1.566132e+02  +6.871320e+01  +5.255725e+01  0026     TA-D20K-  +4.040615e+00  -8.996473e+00  +5.301363e+00  +1.000000e-01
-1.564494e+02  +6.552760e+01  +3.606870e+01  0052     TA-H19K-  +1.482529e-02  +6.483253e-01  +3.341951e+00  +2.100000e+00
-1.564394e+02  +5.919530e+01  +4.339695e+01  0023     TA-P17K-  +2.604652e+00  -8.298537e+00  +3.329725e+00  +1.100000e+00
-1.563872e+02  +5.763970e+01  +2.797710e+01  0016     TA-R17K-  +1.504530e-01  +4.806795e+00  +4.619122e+00  +1.100000e+00
-1.561885e+02  +6.825750e+01  +4.965649e+01  0034     TA-E20K-  +5.124635e-01  -6.173638e+00  +5.375348e+00  +1.100000e+00
-1.560116e+02  +6.293010e+01  +3.694509e+01  0092      AT-TTA-  +4.145225e-02  -1.900075e+00  +3.327081e+00  +2.100000e+00
-1.558897e+02  +6.068010e+01  +3.301527e+01  0049     TA-N18K-  +9.843624e-01  +2.681615e+00  +3.263148e+00  +2.100000e+00
-1.558865e+02  +5.826370e+01  +2.187023e+01  0032     TA-Q17K-  +3.638078e+00  +1.234305e+01  +4.121390e+00  +1.000000e-01
-1.558242e+02  +6.149070e+01  +2.843511e+01  0037     TA-M18K-  +5.704572e+00  +6.978544e+00  +3.973032e+00  +1.100000e+00
-1.557251e+02  +6.704860e+01  +2.675573e+01  0041     TA-F20K-  +9.475972e+00  +1.356579e+01  +3.009527e+00  +1.000000e-01
-1.556225e+02  +5.582180e+01  +3.367406e+01  0011      AK-CHI-  +1.956468e-02  -6.952981e-01  +4.543181e+00  +1.100000e+00
-1.556217e+02  +6.110820e+01  +3.682827e+01  0202     AT-SVW2-  +1.146796e-01  -3.024469e+00  +3.564024e+00  +2.100000e+00
-1.556214e+02  +6.399400e+01  +3.576336e+01  0057     TA-J19K-  +7.679333e-03  +6.167630e-02  +3.250608e+00  +2.100000e+00
-1.554660e+02  +6.474000e+01  +3.425818e+01  0067    XR-RBY-01  +2.989268e-02  +1.842392e+00  +3.293968e+00  +2.100000e+00
-1.552843e+02  +5.827020e+01  +3.717874e+01  0079     AV-KABU-  +7.062675e-01  -4.636730e+00  +3.593496e+00  +2.100000e+00
-1.552292e+02  +5.939220e+01  +3.805344e+01  0043     TA-P18K-  +8.743336e-02  -2.517424e+00  +3.515937e+00  +2.100000e+00
-1.552080e+02  +5.985420e+01  +4.003817e+01  0044     TA-O18K-  +6.514935e-02  -4.326271e+00  +3.429690e+00  +2.100000e+00
-1.550632e+02  +5.829630e+01  +2.666472e+01  0049     AV-KAKN-  +3.351524e+00  +7.733601e+00  +3.386931e+00  +1.000000e-01
-1.550086e+02  +5.864840e+01  +3.377863e+01  0032     TA-Q18K-  +1.354260e-02  -3.046598e-01  +3.483688e+00  +2.100000e+00
-1.549742e+02  +7.100330e+01  +4.843512e+01  0003     TA-A22K-  +4.376254e-01  -1.467697e+01  +5.999812e+00  +1.100000e+00
-1.548808e+02  +6.549240e+01  +3.454198e+01  0053     TA-H20K-  +3.706146e-02  +1.121170e+00  +3.256381e+00  +2.100000e+00
-1.548543e+02  +6.218160e+01  +3.571145e+01  0080     TA-L19K-  +1.359605e-03  +6.541499e-01  +3.434862e+00  +2.100000e+00
-1.547833e+02  +6.915650e+01  +4.965649e+01  0014     TA-C21K-  +1.240855e+00  -5.712824e+00  +4.483598e+00  +1.100000e+00
-1.546128e+02  +6.962110e+01  +3.805344e+01  0001     TA-B21K-  +2.047980e-02  +5.590304e+00  +4.574733e+00  +1.100000e+00
-1.544838e+02  +6.081320e+01  +3.515267e+01  0045     TA-N19K-  +2.096253e-03  +1.342285e+00  +3.424249e+00  +2.100000e+00
-1.544783e+02  +6.479620e+01  +3.408397e+01  0004     TA-I20K-  +4.869831e-02  +1.136024e+00  +3.279213e+00  +2.100000e+00
-1.544524e+02  +5.756650e+01  +4.248092e+01  0012     TA-R18K-  +5.204203e-01  -8.370568e+00  +3.861868e+00  +2.100000e+00
-1.543915e+02  +6.190370e+01  +4.248092e+01  0045     TA-M19K-  +3.419713e+00  -7.189696e+00  +3.232113e+00  +1.100000e+00
-1.543201e+02  +6.019520e+01  +3.805344e+01  0045     TA-O19K-  +3.300907e-03  -2.488490e+00  +3.462858e+00  +2.100000e+00
-1.541842e+02  +5.655930e+01  +3.390771e+01  0038      AK-SII-  +3.670909e-03  +2.267976e+00  +4.266826e+00  +1.100000e+00
-1.541467e+02  +6.417670e+01  +3.713741e+01  0053     TA-J20K-  +4.131313e-01  -2.980651e+00  +3.397140e+00  +2.100000e+00
-1.540700e+02  +6.335690e+01  +3.448105e+01  0087     TA-K20K-  +6.598010e-03  +1.110051e+00  +3.499422e+00  +2.100000e+00
-1.539721e+02  +6.844140e+01  +5.087786e+01  0021     TA-E21K-  +3.624447e-01  -5.727978e+00  +5.808883e+00  +1.100000e+00
