gid,latitude,longitude,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,heat_flow,heat_flow_sym,heat_flow_std_err,cheat_flow,cheat_flow_sym,cheat_flow_std_err,quality_code
NV-04263,40.3287073,-116.7225306,,,,136.864,,,,,,G
NV-04266,39.3380965,-119.7780022,,,,221.312,,,,,,G
NV-04267,39.4249956,-119.7140017,,,,414.96,,,,,,G
NV-04913,39.8511035,-118.0081604,,,,,,,,,,
NV-04283,40.3764844,-119.3730062,,,,152.88,,,,,,G
NV-04286,40.3705836,-119.4740089,,,,269.36,,,,,,G
NV-04296,39.554701,-118.8474797,,,,248.43,,,,,,G
NV-04302,39.5437011,-118.8604799,,,,260.6,,,,,,G
NV-04305,39.5691007,-118.8576802,,,,1354,,,,,,G
NV-04306,39.5694005,-118.8739806,,,,264.6,,,,,,G
NV-04319,40.269891,-118.7859882,,,,152.152,,,,,,G
NV-04320,40.3048912,-118.702653,,,,165.984,,,,,,G
NV-04328,39.9115598,-119.1393262,,,,124.852,,,,,,G
NV-04331,39.8198877,-119.9226798,,,,,,,,,,G
NV-04337,40.3098906,-118.7593214,,,,129.948,,,,,,G
NV-04341,40.048228,-118.7226499,,,,298.116,,,,,,G
NV-04345,40.0565612,-118.7276502,,,,173.264,,,,,,G
NV-04347,40.1482276,-118.6059814,,,,193.648,,,,,,G
NV-04348,40.1432273,-118.6476492,,,,178.36,,,,,,G
NV-04349,40.1598939,-118.620982,,,,180.908,,,,,,G
NV-04350,40.2498924,-118.6493174,,,,135.044,,,,,,G
NV-04351,40.2082265,-118.6293163,,,,211.484,,,,,,G
NV-04355,40.0432265,-118.9126551,,,,141.778,,,,,,G
NV-04370,39.7711966,-118.9722862,,,,320.32,,,,,,G
NV-04373,39.7606971,-118.935185,,,,309.4,,,,,,G
NV-04375,41.6558643,-119.8082381,,,,166.32,,,,,,G
NV-04376,39.76223,-114.8138683,,,,85.12,,,,,,G
NV-04376,39.76223,-114.8138683,,,,122.5,,,,,,G
NV-04376,39.76223,-114.8138683,,,,54.6,,,,,,G
NV-04379,39.3766058,-118.6092706,,,,168.14,,,,,,G
NV-04382,39.3124071,-118.5759688,,,,1542.996,,,,,,G
