# Lon        | Lat          | Moho Depth   | Count   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.556225e+02  +5.582180e+01  +3.367406e+01  0011      AK-CHI-  +3.372556e-03  -5.036718e-01  +2.312118e+00  +2.100000e+00
-1.556217e+02  +6.110820e+01  +3.682827e+01  0202     AT-SVW2-  +1.865522e-02  -2.566927e+00  +1.662093e+00  +2.100000e+00
-1.556214e+02  +6.399400e+01  +3.576336e+01  0057     TA-J19K-  +5.853006e-03  +3.904652e-01  +7.363673e-01  +2.100000e+00
-1.554660e+02  +6.474000e+01  +3.425818e+01  0067    XR-RBY-01  +1.237130e+00  +2.250262e+00  +6.554841e-01  +2.100000e+00
-1.552843e+02  +5.827020e+01  +3.717874e+01  0079     AV-KABU-  +6.102689e-01  -4.810461e+00  +2.331746e+00  +2.100000e+00
-1.552292e+02  +5.939220e+01  +3.805344e+01  0043     TA-P18K-  +1.028256e-02  -2.218623e+00  +1.762932e+00  +2.100000e+00
-1.552080e+02  +5.985420e+01  +4.003817e+01  0044     TA-O18K-  +1.208186e+00  -3.778359e+00  +1.120135e+00  +2.100000e+00
-1.550632e+02  +5.829630e+01  +2.666472e+01  0049     AV-KAKN-  +5.977349e+00  +7.957405e+00  +3.364227e+00  +1.000000e-01
-1.550086e+02  +5.864840e+01  +3.377863e+01  0032     TA-Q18K-  +3.264869e-03  -4.178246e-01  +1.695912e+00  +2.100000e+00
-1.549742e+02  +7.100330e+01  +4.843512e+01  0003     TA-A22K-  +2.086957e+00  -1.461442e+01  +4.789655e+00  +1.000000e-01
-1.548808e+02  +6.549240e+01  +3.454198e+01  0053     TA-H20K-  +3.921833e-02  +1.471724e+00  +9.622714e-01  +2.100000e+00
-1.548543e+02  +6.218160e+01  +3.571145e+01  0080     TA-L19K-  +3.059753e-03  +9.334927e-01  +1.389722e+00  +2.100000e+00
-1.547833e+02  +6.915650e+01  +4.965649e+01  0014     TA-C21K-  +1.125655e-01  -5.293473e+00  +4.490148e+00  +1.100000e+00
-1.546128e+02  +6.962110e+01  +3.805344e+01  0001     TA-B21K-  +6.174276e-01  +5.721500e+00  +1.889177e+00  +2.100000e+00
-1.544838e+02  +6.081320e+01  +3.515267e+01  0045     TA-N19K-  +1.214139e-01  +1.372759e+00  +1.042104e+00  +2.100000e+00
-1.544783e+02  +6.479620e+01  +3.408397e+01  0004     TA-I20K-  +2.793936e-02  +1.482059e+00  +1.299042e+00  +2.100000e+00
